,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Neerajsahu80,speaking skill,,0,0,6,10,"Sir it is a request to extend last date of form filling for RPSC 1st grade School Lecture .
We are Facing issue in OTR and Aadhar updation .
#rpsc_sch_lecturer_date_extend 
#RPSC_स्कूल_लेक्चरर_फोर्म_डेट_बढ़ाओ 
#rpsc_school_edu_Lacturer_date_extend 
#rpsc 
#rpsc",[]
1,Neerajsahu80,speaking skill,,0,0,6,6,"@TheUpenYadav @RPSC1 sir it is a request to extend last date of form filling for RPSC 1st grade school lecturer .
We are facing issue in OTR and aadhar updation 
#RPSC_स्कूल_लेक्चरर_फोर्म_डेट_बढ़ाओ 
#rpsc_school_edu_Lacturer_date_extend",[]
2,nappgcu,Account for MSc Nursing: Advancing Professional Practice (NAPP) @gcunursing including ANP pathway @gcushls PL @evmcelhinney 👩🏻‍🎓🧑🏽‍🎓👨🏻‍🎓,"Glasgow, Scotland",957,929,1837,7,Two mental health nursing lecturer posts have just been advertised @dundeeuni @UoDHealthSci 👇 https://t.co/BOKDSl1nWG,[]
3,marinklevy,"Professor, Duke University School of Law.","Durham, NC",622,14140,5857,0,"Let's introduce Mary Ann properly.

According to W.E.B. Du Bois, this ""teacher, editor and lecturer"" was ""tall and slim, of that ravishing dream-born beauty . . . well-educated, vivacious, with determination shining from her sharp eyes.""❤️‍🔥

Now let's talk about how she got there. https://t.co/xgdGtrHVAe",[]
4,Olukaykorf,MEDIA PRODUCTION/ WRITER/CONTENT DEVELOPER. Producer @goldmynetv  #ManUtd ⚽️ Minding my business,,316,310,7347,0,Mrs Lecturer be calming down ooo aiye oni double oo https://t.co/gRnHSqXtLW,[]
5,MonashBusiness,"#MonashBusiness School (Monash University) is a global academy for leaders, innovators and change-makers.",Melbourne,170,1940,2875,0,"Mitigating #climatechange doesn’t always have to be costly, says our Senior Lecturer Xin Ma, whose work is capturing and solving real-world business issues like #responsiblesourcing. He's won a 2022 Monash Business School Dean's Award for his work. 
https://t.co/9VwD8WaNlT","['climatechange', 'responsiblesourcing']"
6,omujisoo,,"your kind-hearted and witty infirmary doctor in-charge. 

an apple a day can keep a doctor away but if you think i’m cute, forget the fruit! ",47,43,85,0,"keyword : if 

if you get sick, i shall give you a slip granting you the permission to be excused from class which you will have to present to the lecturer whose class you will not be attending. https://t.co/4IfphUa0ei",[]
7,ozil_optimist,Ph.D Candidate | University of Queensland | Animal Breeder | Statistical genomics| Bioinformatics,"Brisbane, Queensland",742,472,1006,21,"Job alert: Lecturer in Animal Behaviour at Flinders University Adelaide, please retweet https://t.co/adJlb12u1G https://t.co/XYryG1WT1e",[]
8,SavvyBroadcast,"Background in finance the past 26yrs+
For fun love flying, walking & Podcasting.
new series""Unleash Your Story"" & Forbidden Speech, the Raw Truth.",Spring Texas,138,33,787,0,Maintain Spiritual Fortitude in Times of Struggle with Yoichi Utebi producer and world lecturer for Happy Science https://t.co/vQE2HUqOkM,[]
9,RTS_Dallas,"Serving the Church throughout Texas & the great Southwest by preparing its leaders with a mind for truth, a heart for God, and a view to a life for ministry.","Dallas, TX",90,574,2386,0,"Dr. Peter Yoder will return to RTS Dallas this summer to teach History of Christianity II. 

July 11 - July 15
8:00 AM - 5:00 PM

Dr. Yoder served as our admissions director and as a lecturer before joining the faculty of @montreatcollege. Learn more: https://t.co/Vi5ZZJsSfT. https://t.co/FdKXlmkuDN",[]
