,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,alljstweet,I'm a JavaScript bot. I retweet #javascript. Follow me to gain more knowledge related to JavaScript. Created by @icnawaz,,0,131,13141,1,"HELLO, WE ARE CURRENTLY 24HRS SERVICES FOR ALL URGENT ORDERS IN:
@Academictutor20 
#onlineclass
#fall classes
#Paper pay 
#javascript 
#Case study
#python
#Payhomework.
#essaypay.
#maths.
#assignments
#pay assignments
#statistics
#Summeressays
#Springexam","['onlineclass', 'fall', 'Paper']"
1,Academictutor20,DM for #writeessay #writeresearchpaper #essaypay #onlineclasses #stastics #calculus #essaydue #essayhelp #writeassignment📃🖊️📚📩 academicwriters21@gmail.com,"North Manchester, IN",4801,4477,14542,1,"HELLO, WE ARE CURRENTLY 24HRS SERVICES FOR ALL URGENT ORDERS IN:
@Academictutor20 
#onlineclass
#fall classes
#Paper pay 
#javascript 
#Case study
#python
#Payhomework.
#essaypay.
#maths.
#assignments
#pay assignments
#statistics
#Summeressays
#Springexam","['onlineclass', 'fall', 'Paper', 'javascript', 'Case', 'python', 'Payhomework', 'essaypay', 'maths', 'assignments', 'pay', 'statistics', 'Summeressays', 'Springexam']"
2,Asksteve2,,"Tampa, FL",2,60,37640,0,"We deliver unique work 📚   
 🔫 DM for value-based services  
 #Onlineclass 
 #homework 
 #Onlineclass 
 #Case study
 #Paper pay 
 #Philosophy 
 #essaywrite 
 #python
 #Essaypay 
 #Paper pay 
 #100DaysOfCode 
 #100DaysOfCode 
 🐄 
 💃 

 https://t.co/MrEPSqHB5x","['Onlineclass', 'homework', 'Onlineclass', 'Case', 'Paper', 'Philosophy', 'essaywrite', 'python', 'Essaypay', 'Paper', '100DaysOfCode', '100DaysOfCode']"
3,Academictutor20,DM for #writeessay #writeresearchpaper #essaypay #onlineclasses #stastics #calculus #essaydue #essayhelp #writeassignment📃🖊️📚📩 academicwriters21@gmail.com,"North Manchester, IN",4801,4477,14542,0,"Get online class homework, assignment and exam expert help with 
Accounting 
Finance 
Economics 
Physics 
Biology 
Chemistry 
#Essayhelp
#Essaypay
#Essaydue
#Assignmentdue
#Assignmenthelp
#Homeworkdue
#Homeworkhelp
#Homeworkslave
#Onlineclass
#USA #Canada #Australia #UK #Kuwait","['Essayhelp', 'Essaypay', 'Essaydue', 'Assignmentdue', 'Assignmenthelp', 'Homeworkdue', 'Homeworkhelp', 'Homeworkslave', 'Onlineclass', 'USA', 'Canada', 'Australia', 'UK', 'Kuwait']"
4,xaelbot,"A bot, I like and retweet on #100DaysOfCode. Block if don't want to be retweeted.",Earth,7,6299,1671769,3,"🔹Homework
🔹Essay pay
🔹Thesis
🔹Research
🔹Psychology
🔹Philosophy
🔹Economics
🔹Finance

🔹Nursing
🔹Biology
🔹Statistics
🔹Algebra
#Serverless
#100DaysOfCode
#OnlineClass 
#RMAMCI 
#UCL   
#Ayaka 
#Genshinlmpact 
@martinmut5 https://t.co/6zcpOGmPbi",[]
5,LeetcodeB,"Hi! I'm a bot. I help your tweets reach masses. I retweet #leetcode #100daysOfCode #30DaysOfCode @leetcode #coding
Use me with some Jedi wisdom 😉 Go coders 🍻",,5,1838,87430,3,"🔹Homework
🔹Essay pay
🔹Thesis
🔹Research
🔹Psychology
🔹Philosophy
🔹Economics
🔹Finance

🔹Nursing
🔹Biology
🔹Statistics
🔹Algebra
#Serverless
#100DaysOfCode
#OnlineClass 
#RMAMCI 
#UCL   
#Ayaka 
#Genshinlmpact 
@martinmut5 https://t.co/6zcpOGmPbi",[]
6,ServerlessFan,#Serverless #Computing,Sri Lanka,6,4010,533691,3,"🔹Homework
🔹Essay pay
🔹Thesis
🔹Research
🔹Psychology
🔹Philosophy
🔹Economics
🔹Finance

🔹Nursing
🔹Biology
🔹Statistics
🔹Algebra
#Serverless
#100DaysOfCode
#OnlineClass 
#RMAMCI 
#UCL   
#Ayaka 
#Genshinlmpact 
@martinmut5 https://t.co/6zcpOGmPbi",[]
7,martinmut5,"We are writers with vast experience and great proficiency in writing and research of any inclination. We are legit, reliable and available 24/7💯.","Los Angeles, CA",53,95,2772,3,"🔹Homework
🔹Essay pay
🔹Thesis
🔹Research
🔹Psychology
🔹Philosophy
🔹Economics
🔹Finance

🔹Nursing
🔹Biology
🔹Statistics
🔹Algebra
#Serverless
#100DaysOfCode
#OnlineClass 
#RMAMCI 
#UCL   
#Ayaka 
#Genshinlmpact 
@martinmut5 https://t.co/6zcpOGmPbi","['Serverless', '100DaysOfCode', 'OnlineClass', 'RMAMCI', 'UCL', 'Ayaka', 'Genshinlmpact']"
8,nichola80133336,"Hello, I am Nicholas, I take #onlineclasses #assignment #essay#homework #discussion #quiz #exams at a pocket-friendly fee for busy #students.",USA,818,46,386,5,"#essaypay 
#Essaydue 
#essaywrite 
#Essays 
#Javascript
#Python
#Programming
#code
#Excel
#Assignments 
#Assignmentdue 
#Pay write
#homeworkslave 
#Paper pay
#Someone do help
#Homeworkhelp 
#summerclasses 
#Onlineclass 
#essayhelp https://t.co/UAZrmEHZyh","['essaypay', 'Essaydue', 'essaywrite', 'Essays', 'Javascript', 'Python', 'Programming', 'code', 'Excel', 'Assignments', 'Assignmentdue']"
9,WEPASSTHECLASS,We Pass The Class Does Exactly As The Name Implies. We Help You Pass The Class. Check Out The Website Below.,USA,418,175,10678,0,Need Help With Your #OnlineClass? DM For More Info..,['OnlineClass']
