,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MsSayavong,#MentalHealthMatters https://t.co/8GlGi0c6z9 Support Little Humans Mental Health. #Educator #loveall #Venmome @Sarah-Sayavong-1,South Dakota,565,404,2202,0,@xpressionthemc Me please #graduation2022 #daughterisadiva #universitylife $MsSayavong,"['graduation2022', 'daughterisadiva', 'universitylife']"
1,BedesSummerNews,An International Summer School based in the South East of England. Providing a range of courses across 6 centres for 6-20 year olds with all levels of English.,"England, United Kingdom",238,293,387,0,"Join us this summer: 
https://t.co/MJi5peuhu9

#summerschool #summer2022 #summercamp #university #student #universitylife #universitycampus #brighton #universityofsussex 

See this Instagram photo by @qualityenglish https://t.co/0Pp2AADYvl","['summerschool', 'summer2022', 'summercamp', 'university', 'student', 'universitylife', 'universitycampus', 'brighton', 'universityofsussex']"
2,ShrutiS39468594,,"Kolkata, India",11,4,4,0,"Bangalore's weather and Calcutta's food. 
Mood. 

#bangaloredays #universitylife","['bangaloredays', 'universitylife']"
3,Sabisabilash98,Sabi | தமிழ் | 🇱🇰 | Undergraduate SEUSL 📚👨‍🎓 | Traveller 🌍🚴✈️ | Foodie 🍛🍗🍔 | Believe in yourself,மீன் பாடும் தேன் நாடு,1903,491,19203,1,"Good morning 🌅

#universitylife #Hosteldiaries #SriLanka #goodmorning https://t.co/INTSDpTxOG","['universitylife', 'Hosteldiaries', 'SriLanka', 'goodmorning']"
4,ScholarPharma,We offer bespoke healthcare consultancy that is tailored directly to your educational or organisational needs.,"North West, England",1127,229,1225,0,"Had a significant number of enquires following my tweet a few weeks back....

Several bookings made!!

Be quick, book your slot today via: mike@pharmascholar.co.uk 

#edtech #education #Iran #business #students #uni #pharmacy #university #universitylife #Tutor #Iranians #teacher","['edtech', 'education', 'Iran', 'business', 'students', 'uni', 'pharmacy', 'university', 'universitylife', 'Tutor', 'Iranians', 'teacher']"
5,ayoub_syed,"Muslim,
Pakistani🇵🇰,
30 August🎂,
Football Enthusiast⚽,
Sports lover🎾🏀🎲.","Karachi, Pakistan",102,95,755,0,"University changes your life if not then definitely your skin color..                               

#Syedsays #Universitylife","['Syedsays', 'Universitylife']"
6,SophiaO70157199,Successful Spanish speaker teaching Spanish for more than 9 years. Visit the Below 👇 website To Learn Spanish 👇Facebook:https://t.co/D1NFYYEYoZ,Spain,205,21,265,0,"Speak Spanish Fluently: https://t.co/PpvlnxoYIz …

#teddyhall #stedmundhall #oxforduni #university #universitylife #oxfordstudents #highereducation #access #accessoxford #accessoxbridge #oxbridge #oxford #students #studentlife #goingtooxford #oxforduniversity #dayinthelife https://t.co/T7qO2lR7JO","['teddyhall', 'stedmundhall', 'oxforduni', 'university', 'universitylife', 'oxfordstudents', 'highereducation', 'access', 'accessoxford', 'accessoxbridge', 'oxbridge', 'oxford', 'students', 'studentlife', 'goingtooxford', 'oxforduniversity', 'dayinthelife']"
7,PeachyEssay,"Your Number One Essay Writing Service
💡Use ""FIRSTTIMER10"" for 10% off 💡",United Kingdom,141,179,2255,0,"#school/ #college life vs real life

#student #education #students #study #studentlife #school #universitylife #collegelife #studyabroad #studygram #uni #photography #universit #love https://t.co/JsJ6ML5r6X","['school', 'college', 'student', 'education', 'students', 'study', 'studentlife', 'school', 'universitylife', 'collegelife', 'studyabroad', 'studygram', 'uni', 'photography', 'universit', 'love']"
8,satpal97591258,i am student,,86,8,127,0,"university life _ ghanshyaam Bidla,  past chairman of Bidla capmany

https://t.co/qlgxt4fkql 

#University #Universitylife #MotivationalQuotes #motivation #Blogging #Blog #Blogger https://t.co/PziIkNDulF","['University', 'Universitylife', 'MotivationalQuotes', 'motivation', 'Blogging', 'Blog', 'Blogger']"
9,IKaznaru,KazNARU is a trusted player actively contributing to building knowledge bridges through the exchange knowledge & expertise in the fields of food & agriculture.,"Almaty, Kazakhstan",521,14,24,0,"KazNARU students at the end of their fieldwork.
#students #kaznaru #kazakhstan #agriculture #university #universitylife #Almaty https://t.co/e6aEBJ8jqG","['students', 'kaznaru', 'kazakhstan', 'agriculture', 'university', 'universitylife', 'Almaty']"
10,NewU_University,"Bachelor's Degree in 3 Years and 70% Less Money.  In person, not online. Welcome to a new breed of university. Welcome to NewU.",United States,4,10,94,0,"Prospective students can still apply to NewU University. Join us and learn at our campus, situated in the heart of Washington, DC.

#university #college #universitylife https://t.co/GfbVGScxEt","['university', 'college', 'universitylife']"
11,TTIC_Connect,Challenging the Foundation of Computer Science.,"Chicago, IL 60637  U.S.A.",316,1366,2032,0,"Happy Friday! We hope you are enjoying the beautiful weather in #Chicago today and getting some sun, like the TTIC community did yesterday at our End of Quarter Picnic. Thank you to everyone who showed up and have a great weekend! ☀️ #universitylife https://t.co/hgpQr6W6Zy","['Chicago', 'universitylife']"
12,VCSIVA15,"Nothing to say ♥️
My life with my control💪
Photography is my fashion📷
Higher education  still going 🧑‍🎓
Single it's too much lie 😜",,85,5,19,1,"Our Gang 

#universitylife #universitydiaries https://t.co/GR9peolyih","['universitylife', 'universitydiaries']"
13,Sabisabilash98,Sabi | தமிழ் | 🇱🇰 | Undergraduate SEUSL 📚👨‍🎓 | Traveller 🌍🚴✈️ | Foodie 🍛🍗🍔 | Believe in yourself,மீன் பாடும் தேன் நாடு,1903,491,19203,1,"Our Gang 

#universitylife #universitydiaries https://t.co/GR9peolyih","['universitylife', 'universitydiaries']"
14,DC_ASSEMBLERS,"Furniture Installation, furniture assembly and Moving services in Washington DC - Maryland Virginia - SAME DAY SERVICE -CALL 240-764-6143 - white glove delivery",Washington DC area - MD - VA,268792,82599,123372,1,"It's never that serious! You want to relax and you haven't started your #homework, #essay or #assignment. DM 
WhatsApp: +1 (505) 709-9641
#essayhelp 
#assignmenthelp 
#homeworkhelp  
💯 Legit 🕒 timely

 #college #universitylife  #tamu #acl2020 #NYC #california #ca #SummerClass https://t.co/aY6PJgauOH","['homework', 'essay', 'assignment']"
15,_EssayWriter_,"Essay  | Assignment |Homework | Online class  | Research papers  | Dissertation
📧 writerkevin@yahoo.com
WhatsApp/Text: +1 (505) 709-9641
💯 Legit 🕒 timely",UNITED STATES,516,167,10406,1,"It's never that serious! You want to relax and you haven't started your #homework, #essay or #assignment. DM 
WhatsApp: +1 (505) 709-9641
#essayhelp 
#assignmenthelp 
#homeworkhelp  
💯 Legit 🕒 timely

 #college #universitylife  #tamu #acl2020 #NYC #california #ca #SummerClass https://t.co/aY6PJgauOH","['homework', 'essay', 'assignment', 'essayhelp', 'assignmenthelp', 'homeworkhelp', 'college', 'universitylife', 'tamu', 'acl2020', 'NYC', 'california', 'ca', 'SummerClass']"
16,csn_team,Welcome to CSN twitter page - Current School News portal provides valuable informations from all round levels of education.,Nigeria,208,1020,23618,0,"Some British universities have been ranked best, based on the overall Best Global Universities rankings. 

Click here https://t.co/FW6oUga4rt to know which schools are among the best universities in the United Kingdom.

#university #universitylife #universityofrock #university19","['university', 'universitylife', 'universityofrock', 'university19']"
17,EXtremeClimTwin,Twinning for the advancement of data-driven multidisciplinary research into hydro-climatic extremes to support risk assessment and decision making (H2020),,117,83,122,0,"We had a great time at the Young Researchers Society ”Branislav Bukurov” (UNSPMF) lecture and presentation of the EXtremeClimTwin upcoming events and activities!
#extremeclimtwin #h2020 #esrs #universitylife #loveourjob https://t.co/4Lu62U16o9","['extremeclimtwin', 'h2020', 'esrs', 'universitylife', 'loveourjob']"
18,ShezalD,,,8,5,216,3,"Your dream to become a doctor in US is waiting.
Apply now! 
.
.
.
#wuhs #washingtonuniversity #washingtonstudent #belize #student  #medicaluniversity #medicalschool #medicalscience #medicalstudent #university #usa #universitylife https://t.co/zkv3Olbr7x","['wuhs', 'washingtonuniversity', 'washingtonstudent', 'belize']"
19,AriCubangbang,"🏳️‍🌈 LGBTQ Blogging on my journey… Cosplayer, Bachelor of Psychology Student, Artist, short story author, poet. Host of Villain Ari.",Canada,254,189,1791,0,University life. Books = $… you spend $250 on 2 books for 2 of my 3 classes. Let the summer semester comense. I still haven’t gotten my third book though… LOL. #University #universitylife #AcademicTwitter #AcademicChatter #psychology https://t.co/B46bvBKSCN,"['University', 'universitylife', 'AcademicTwitter', 'AcademicChatter', 'psychology']"
