,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MavrawYousaf,,"Lahore, Pakistan",11,1,363,1,"17 Pakistani students selected for US Future of Women in Energy Scholars Program.
https://t.co/DZU7JKDCco
#digitalmore #pakistan #usmission #pakistaniwomen #universitystudent #USPWC #EnergyScholarsProgram https://t.co/PIBWRdwI8H",['digitalmore']
1,DigitalMore4,Advertising/Marketing,,33,37,2074,1,"17 Pakistani students selected for US Future of Women in Energy Scholars Program.
https://t.co/DZU7JKDCco
#digitalmore #pakistan #usmission #pakistaniwomen #universitystudent #USPWC #EnergyScholarsProgram https://t.co/PIBWRdwI8H","['digitalmore', 'pakistan', 'usmission', 'pakistaniwomen', 'universitystudent', 'USPWC', 'EnergyScholarsProgram']"
2,LeahHar02543106,"•93' babe.. •
•Mother of three ❤️❤️💙•
•Animal lover 💋•
•Partner in crime CLH💋💞💑•
•University Student 🖤•",,49,6,33,0,"Saturdays vibes 📷
#altgirl #tattoos #shorthair #piercings #alternative #blackhair #slayertee #universitystudent https://t.co/rbplig6DYn","['altgirl', 'tattoos', 'shorthair', 'piercings', 'alternative', 'blackhair', 'slayertee', 'universitystudent']"
3,BishnuhariTimi1,,Nepal,82,8,27,6,"Apply for the #YouthOpportunity from Language of Liberty Institute before seats run out!
Link in comments
Event supported by @Liberty_ISIL, @SamriddhiTPF, @Bikalpabrt &amp; @PokharaCentre 
#economicdevelopment #freemarket #LeadershipDevelopment #Nepal #Bandipur  #UniversityStudent https://t.co/5xro70TfAQ",['YouthOpportunity']
4,Castonconsltnts,"Caston Consultancies was mainly founded in Kerala. Assisting individuals in different places such as the USA, UK, European Countries and all over the world.",India,358,1528,134,0,"Mind buzzed with several September 2022 intake questions? Get in touch with Caston Consultancies, our experts team are helping students around the clock to fulfill their long awaited dreams!
#collegestudent #universitystudent #campus #school #undergrad #faculty #Septemberintake https://t.co/YZEV8l5oDA","['collegestudent', 'universitystudent', 'campus', 'school', 'undergrad', 'faculty', 'Septemberintake']"
5,SaadArshad_96,,,3,24,59,0,"One drunk man is more intelligent than three women with PHDs..🤣
#sadposting #universityposting #university #universitystudent #BreakingNews #Entertainment","['sadposting', 'universityposting', 'university', 'universitystudent', 'BreakingNews', 'Entertainment']"
6,SASFLiberty,"Our mission is to educate, develop, and empower the next generation of leaders of liberty.",,527,496,1405,0,"Scan QR Code or Apply here https://t.co/3VYSwdPVHS
LLI will contact you if shortlisted.

#studentsleaders #Liberalism #YouthPower #Freedom #economicdevelopment #freemarket #Camp #YouthOpportunities #LeadershipDevelopment #India #Goa #Condolim #libertarian #UniversityStudent","['studentsleaders', 'Liberalism', 'YouthPower', 'Freedom', 'economicdevelopment', 'freemarket', 'Camp', 'YouthOpportunities', 'LeadershipDevelopment', 'India', 'Goa', 'Condolim', 'libertarian', 'UniversityStudent']"
7,kabaliuoh,Adventure traveller,Hyderabad ,140,45,106,0,"No boundaries at all 
to make your life joyful 
in every moment… 
life of kabali 🤘🤘🤘

#selvankabali
#sukoon2022
#HCU
#universitystudent
#universitylife
#campusfiles
#universitylifestyle
Pic: Goutham Bandi https://t.co/EMgfSmq5GP","['selvankabali', 'sukoon2022', 'HCU', 'universitystudent', 'universitylife', 'campusfiles', 'universitylifestyle']"
8,xenija_l,,,9,1,1,0,Pink academia 💗📚#pinkaesthetic #pinkacademia #studymotivation #lightacademia #university #universitystudent #college https://t.co/KLu68xeCbQ,"['pinkaesthetic', 'pinkacademia', 'studymotivation', 'lightacademia', 'university', 'universitystudent', 'college']"
9,kabaliuoh,Adventure traveller,Hyderabad ,140,45,106,0,"With my  Bodypracticiner 
Guru@ Naveen Vajra …
Sukoon 2022
University Of Hyderabad 

#selvankabali
#sukoon2022
#HCU
#universitystudent
#universitylife
#campusfiles
#universitylife https://t.co/nQV1b7ijhi","['selvankabali', 'sukoon2022', 'HCU', 'universitystudent', 'universitylife', 'campusfiles', 'universitylife']"
